;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Status Quo;;FW-Szenario 1 - Nur Versorgung der Altstadt;;;;;;;FW-Szenario 2  - Versorgung von Altstadt & Zusmmenschluss WHHW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monat;Tag;Stunde;2023;;2025;2030;2035;2040;2045;2050;;2025;2030;2035;2040;2045;2050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2027;2031;2035;2035 inkl. Sanierung;;;;;;;
;;FW Bedarf;;;4.212;5.910;7.608;9.305;11.003;12.701;;4.212;5.910;9.109;16.574;19.774;22.974;Zukunft_Lastgänge_SWLL_mit_WHHW.xlsx;;;;Prognose Verbraucher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Netzeinspeisung gesamt;;;;6.691;8.502;10.217;11.859;13.427;;4.803;6.691;10.190;18.219;21.327;24.297;Zukunft_Lastgänge_SWLL_mit_WHHW.xlsx;;;;Prognose_Einspeisung_Klima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szenario 1;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;578;;1.011;1.441;1.852;2.242;2.616;2.972;;1.011;1.441;2.236;4.064;4.770;5.446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szenario 2;0;0;#BEZUG!;#BEZUG!;;;;;;;
1;1;2;567;;1.005;1.431;1.840;2.227;2.598;2.952;;1.005;1.431;2.221;4.037;4.738;5.409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prognose SWA;0;0;0;;;;;;;;
1;1;3;584;;997;1.421;1.827;2.211;2.579;2.931;;997;1.421;2.205;4.008;4.704;5.370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;4;574;;989;1.409;1.811;2.193;2.558;2.907;;989;1.409;2.187;3.974;4.665;5.325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2027;;;;2031;;;;2035;;
1;1;5;627;;980;1.396;1.795;2.173;2.535;2.880;;980;1.396;2.167;3.938;4.622;5.277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szenario 1;Szenario 2;Prognose SWA;;Szenario 1;Szenario 2;Prognose SWA;;Szenario 1;Szenario 2;Prognose SWA
1;1;6;572;;968;1.379;1.773;2.147;2.504;2.846;;968;1.379;2.141;3.890;4.567;5.213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inkl. Sanierung;;;;;;;;;#BEZUG!;#BEZUG!;
1;1;7;812;;959;1.366;1.757;2.127;2.481;2.819;;959;1.366;2.121;3.854;4.525;5.165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ohne Sanierung;#BEZUG!;0;0;;#BEZUG!;0;0;;#BEZUG!;#BEZUG!;0
1;1;8;865;;946;1.347;1.732;2.096;2.445;2.778;;946;1.347;2.090;3.798;4.459;5.090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;9;948;;932;1.327;1.706;2.065;2.409;2.737;;932;1.327;2.059;3.742;4.393;5.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;10;904;;916;1.305;1.678;2.031;2.369;2.692;;916;1.305;2.025;3.680;4.320;4.932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2027;2031;2035;;;;;;;;
1;1;11;883;;902;1.285;1.652;1.999;2.332;2.650;;902;1.285;1.994;3.623;4.253;4.855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szenario 1;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;;
1;1;12;884;;887;1.264;1.625;1.967;2.294;2.607;;887;1.264;1.961;3.564;4.183;4.775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szenario 2;0;0;#BEZUG!;;;;;;;;
1;1;13;808;;870;1.239;1.593;1.929;2.250;2.556;;870;1.239;1.923;3.495;4.103;4.683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prognose SWA;0;0;0;;;;;;;;
1;1;14;817;;856;1.219;1.568;1.898;2.214;2.515;;856;1.219;1.892;3.439;4.037;4.608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;15;730;;840;1.196;1.538;1.862;2.171;2.467;;840;1.196;1.856;3.373;3.960;4.520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;16;720;;828;1.179;1.516;1.836;2.141;2.433;;828;1.179;1.830;3.326;3.904;4.457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;17;673;;815;1.160;1.492;1.806;2.106;2.393;;815;1.160;1.801;3.272;3.841;4.384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;18;643;;803;1.143;1.470;1.779;2.075;2.358;;803;1.143;1.774;3.224;3.785;4.320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;19;586;;792;1.127;1.449;1.754;2.046;2.325;;792;1.127;1.749;3.179;3.731;4.259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;20;596;;780;1.111;1.428;1.729;2.016;2.291;;780;1.111;1.724;3.132;3.677;4.197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;21;588;;770;1.097;1.410;1.707;1.991;2.262;;770;1.097;1.702;3.093;3.631;4.144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;22;596;;761;1.083;1.392;1.685;1.965;2.233;;761;1.083;1.680;3.053;3.584;4.091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;23;570;;749;1.067;1.372;1.660;1.936;2.200;;749;1.067;1.656;3.008;3.531;4.031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;24;487;;738;1.051;1.352;1.636;1.908;2.168;;738;1.051;1.631;2.964;3.479;3.971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;1;467;;729;1.038;1.335;1.616;1.884;2.141;;729;1.038;1.611;2.927;3.436;3.922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;2;448;;721;1.026;1.320;1.597;1.863;2.117;;721;1.026;1.593;2.894;3.397;3.877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;446;;713;1.015;1.305;1.580;1.843;2.094;;713;1.015;1.576;2.863;3.360;3.836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;4;426;;706;1.005;1.292;1.564;1.825;2.073;;706;1.005;1.560;2.834;3.327;3.797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;5;433;;700;996;1.281;1.550;1.808;2.055;;700;996;1.546;2.809;3.297;3.764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;6;425;;694;987;1.269;1.536;1.792;2.036;;694;987;1.532;2.784;3.268;3.730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;7;583;;689;981;1.261;1.527;1.781;2.023;;689;981;1.522;2.766;3.246;3.706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;8;636;;683;973;1.251;1.514;1.766;2.006;;683;973;1.510;2.743;3.219;3.675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
