Jahr,Cluster,Fernwärme,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember
2019,1,332.384657,46.97,39.74,36.13,32.52,28.9,25.29,21.68,18.06,14.45,14.45,21.68,32.52
2019,2,5.192877,0.73,0.62,0.56,0.51,0.45,0.4,0.34,0.28,0.23,0.23,0.34,0.51
2019,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,43.453898,6.14,5.2,4.72,4.25,3.78,3.31,2.83,2.36,1.89,1.89,2.83,4.25
2019,5,2422.722115,342.34,289.67,263.34,237.01,210.67,184.34,158.0,131.67,105.34,105.34,158.0,237.01
2019,6,1248.133316,176.37,149.23,135.67,122.1,108.53,94.97,81.4,67.83,54.27,54.27,81.4,122.1
2019,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,420.842087,59.47,50.32,45.74,41.17,36.59,32.02,27.45,22.87,18.3,18.3,27.45,41.17
2020,2,5.183286,0.73,0.62,0.56,0.51,0.45,0.39,0.34,0.28,0.23,0.23,0.34,0.51
2020,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,43.375647,6.13,5.19,4.71,4.24,3.77,3.3,2.83,2.36,1.89,1.89,2.83,4.24
2020,5,2668.790623,377.11,319.09,290.09,261.08,232.07,203.06,174.05,145.04,116.03,116.03,174.05,261.08
2020,6,1322.420172,186.86,158.12,143.74,129.37,114.99,100.62,86.24,71.87,57.5,57.5,86.24,129.37
2020,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0
